Name,Date,Rate,Votes,Genre,Duration,Certificate,Nudity,Violence,Profanity,Alcohol,Frightening
No Time to Die,2021,7.6,107163,"Action, Adventure, Thriller",163,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Guilty,2021,6.3,64375,"Crime, Drama, Thriller",90,R,None,None,Severe,None,Moderate
The Many Saints of Newark,2021,6.4,27145,"Crime, Drama",120,R,Moderate,Severe,Severe,Moderate,Moderate
Venom: Let There Be Carnage,2021,6.4,30443,"Action, Adventure, Sci-Fi",97,PG-13,None,Moderate,Moderate,Mild,Moderate
Dune,2021,8.3,84636,"Action, Adventure, Drama",155,PG-13,None,Moderate,None,Mild,Moderate
Free Guy,2021,7.3,153835,"Action, Adventure, Comedy",115,PG-13,Mild,Moderate,Moderate,None,Mild
Black Widow,2021,6.8,246603,"Action, Adventure, Sci-Fi",134,PG-13,None,Moderate,Mild,Mild,Moderate
The Last Duel,2021,7.7,6498,"Action, Drama, History",152,R,Severe,Severe,Moderate,Mild,Severe
Shang-Chi and the Legend of the Ten Rings,2021,7.9,109552,"Action, Adventure, Fantasy",132,PG-13,None,Moderate,Mild,Mild,Mild
Spectre,2015,6.8,407514,"Action, Adventure, Thriller",148,PG-13,Mild,Moderate,Mild,Mild,Moderate
Casino Royale,2006,8.0,613873,"Action, Adventure, Thriller",144,PG-13,Mild,Moderate,Mild,Mild,Moderate
Halloween Kills,2021,6.1,20383,"Horror, Thriller",105,R,None,Severe,Severe,Mild,Severe
There's Someone Inside Your House,2021,4.8,7724,"Horror, Mystery, Thriller",96,R,Mild,Severe,Moderate,Moderate,Moderate
Malignant,2021,6.3,53310,"Crime, Horror, Mystery",111,R,None,Severe,Moderate,None,Severe
The Night House,2020,6.5,14936,"Horror, Mystery, Thriller",107,R,Mild,Moderate,Moderate,Moderate,Severe
Venom,2018,6.7,414787,"Action, Adventure, Sci-Fi",112,PG-13,Mild,Moderate,Moderate,Mild,Moderate
Skyfall,2012,7.8,658977,"Action, Adventure, Thriller",143,PG-13,Mild,Moderate,Mild,Mild,Moderate
The Addams Family 2,2021,5.3,3798,"Animation, Adventure, Comedy",93,PG,Mild,Moderate,None,None,Mild
Titane,2021,7.2,6076,"Drama, Horror, Sci-Fi",108,R,Severe,Severe,Severe,Moderate,Severe
Old,2021,5.8,52713,"Drama, Horror, Mystery",108,PG-13,Mild,Moderate,Mild,None,Moderate
Hocus Pocus,1993,6.9,110741,"Comedy, Family, Fantasy",96,PG,Mild,Mild,Mild,Mild,Moderate
Dune,1984,6.4,142157,"Action, Adventure, Sci-Fi",137,PG-13,Mild,Moderate,None,Mild,Moderate
